city,locality,area_sqft,bhk,bathrooms,age_years,floor,total_floors,parking,gym,pool,furnishing,price
Delhi NCR,Dwarka,2162,2,2,22,14,21,1,1,0,Semi-Furnished,15898802
Bangalore,Hebbal,2204,3,3,8,5,9,0,1,0,Unfurnished,11792574
Chennai,Velachery,3945,4,5,10,5,11,1,1,0,Semi-Furnished,22628326
Delhi NCR,Gurugram,2478,2,1,17,4,8,1,1,1,Semi-Furnished,20091541
Pune,Viman Nagar,848,3,3,8,18,21,1,1,0,Semi-Furnished,6266828
Bangalore,Hebbal,1590,1,2,14,26,35,1,1,0,Unfurnished,7883926
Bangalore,Indiranagar,2877,3,4,21,9,14,1,0,0,Fully Furnished,13494415
Pune,Hinjewadi,2741,1,2,17,8,16,1,1,1,Fully Furnished,17034787
Hyderabad,Gachibowli,1678,1,1,7,13,16,1,1,0,Unfurnished,7954875
Delhi NCR,Greater Noida,3731,3,2,3,21,30,1,1,1,Semi-Furnished,29182644
Mumbai,Bandra,2219,2,1,12,4,5,1,0,1,Unfurnished,20927662
Chennai,T Nagar,2813,3,2,14,26,28,0,1,0,Semi-Furnished,16819526
Mumbai,Kurla,2715,4,5,7,6,10,1,1,0,Semi-Furnished,26160103
Pune,Viman Nagar,2692,2,2,15,16,18,0,0,1,Unfurnished,16909514
Bangalore,Whitefield,2733,3,4,10,22,31,1,0,0,Semi-Furnished,15626950
Bangalore,HSR Layout,1385,3,3,22,16,23,0,1,1,Semi-Furnished,7716536
Chennai,Anna Nagar,1364,2,2,22,8,10,0,1,0,Semi-Furnished,7720798
Bangalore,Whitefield,3321,3,3,12,21,25,1,0,1,Unfurnished,16337467
Bangalore,HSR Layout,3994,3,2,6,22,28,1,1,0,Semi-Furnished,21704475
Chennai,T Nagar,3554,3,4,17,6,8,1,0,0,Semi-Furnished,21698361
Delhi NCR,Gurugram,1285,4,4,7,0,9,1,1,1,Fully Furnished,10825252
Delhi NCR,Greater Noida,956,3,4,1,1,4,1,0,1,Semi-Furnished,8152338
Chennai,Velachery,844,5,4,2,9,11,1,1,1,Fully Furnished,7222873
Pune,Kothrud,3282,3,3,9,18,22,1,0,1,Fully Furnished,21778728
Bangalore,Hebbal,1053,2,1,6,7,12,1,1,0,Semi-Furnished,5357959
Bangalore,Indiranagar,1520,3,2,22,8,12,1,0,0,Unfurnished,7246762
Pune,Wakad,1287,2,3,6,14,17,1,0,1,Fully Furnished,9017291
Delhi NCR,Noida Sector 62,2319,3,3,3,10,13,1,0,0,Fully Furnished,19612447
Hyderabad,Kondapur,3483,3,2,20,23,26,0,1,0,Fully Furnished,19871873
Hyderabad,Kondapur,1204,3,4,22,11,14,1,0,0,Fully Furnished,7407840
Hyderabad,HITEC City,1627,1,1,7,21,27,1,1,1,Unfurnished,8614539
Delhi NCR,Greater Noida,2794,3,3,18,17,21,0,1,0,Semi-Furnished,21597212
Delhi NCR,Greater Noida,1311,1,1,21,1,8,1,1,1,Semi-Furnished,9731730
Pune,Wakad,3594,3,2,11,29,36,0,1,0,Semi-Furnished,22610436
Bangalore,Indiranagar,1452,3,2,24,28,32,1,0,1,Fully Furnished,8451961
Pune,Viman Nagar,1314,5,4,9,27,28,1,1,0,Unfurnished,10162326
Pune,Viman Nagar,2048,2,2,13,14,23,0,1,1,Semi-Furnished,12762111
Delhi NCR,Noida Sector 62,643,3,2,11,9,16,1,1,0,Fully Furnished,6292081
Hyderabad,Gachibowli,3277,3,2,20,6,12,1,1,0,Unfurnished,18358732
Mumbai,Bandra,1362,4,3,19,8,13,1,1,0,Semi-Furnished,13458158
Bangalore,Indiranagar,1716,3,3,24,21,30,1,0,1,Semi-Furnished,9217274
Delhi NCR,Greater Noida,3012,2,3,3,16,25,1,1,1,Unfurnished,22430146
Hyderabad,Jubilee Hills,2307,2,3,18,13,19,1,0,0,Unfurnished,11306725
Mumbai,Andheri,874,3,3,6,8,16,1,0,1,Semi-Furnished,8792084
Mumbai,Kurla,1176,3,4,20,29,36,0,1,1,Unfurnished,11268124
Delhi NCR,Greater Noida,3239,4,4,0,6,7,0,0,0,Semi-Furnished,25792507
Chennai,Adyar,3176,2,1,7,14,16,1,0,1,Unfurnished,18470937
Bangalore,Hebbal,1789,5,6,10,2,11,0,0,0,Fully Furnished,11001984
Mumbai,Powai,3949,1,1,0,1,5,1,1,0,Semi-Furnished,39029314
Delhi NCR,Gurugram,1055,5,5,24,2,5,1,1,0,Fully Furnished,8922107
Delhi NCR,Faridabad,1362,4,3,0,1,3,0,1,1,Unfurnished,10830837
Hyderabad,Jubilee Hills,2621,3,3,3,12,20,1,0,0,Unfurnished,15151759
Chennai,T Nagar,2985,3,4,3,26,33,1,1,0,Semi-Furnished,17794350
Bangalore,Whitefield,1380,1,1,10,25,34,0,1,1,Unfurnished,7679962
Pune,Viman Nagar,2773,1,1,24,12,15,0,0,1,Fully Furnished,16480341
Hyderabad,HITEC City,2342,2,1,0,1,2,1,1,1,Unfurnished,14214119
Mumbai,Kurla,2855,1,1,9,19,28,1,1,0,Unfurnished,26492115
Mumbai,Bandra,1465,3,4,24,21,26,1,1,0,Fully Furnished,15009908
Hyderabad,Madhapur,2895,2,3,3,18,23,1,1,1,Semi-Furnished,17264760
Delhi NCR,Dwarka,975,4,3,22,8,11,1,1,1,Unfurnished,8576164
Mumbai,Thane,1838,2,2,24,4,12,0,1,1,Semi-Furnished,17379398
Chennai,Velachery,1024,3,2,6,20,28,1,0,1,Semi-Furnished,6868569
Bangalore,Indiranagar,1948,3,2,1,6,7,0,1,1,Semi-Furnished,9843939
Chennai,Adyar,3071,2,3,21,24,28,1,1,1,Unfurnished,19063057
Mumbai,Andheri,1061,2,1,12,12,18,1,1,0,Fully Furnished,10135175
Pune,Kothrud,3820,2,2,21,0,9,1,0,0,Unfurnished,23195308
Bangalore,Indiranagar,1068,3,4,18,8,10,1,1,0,Semi-Furnished,6256152
Bangalore,Whitefield,1705,3,3,3,1,8,1,1,1,Fully Furnished,8940904
Hyderabad,Kondapur,605,2,1,5,2,3,1,1,1,Semi-Furnished,4194240
Hyderabad,Gachibowli,2738,4,5,21,11,15,1,1,0,Unfurnished,14288430
Pune,Viman Nagar,1660,1,1,16,4,11,1,1,0,Fully Furnished,10554696
Delhi NCR,Gurugram,1199,3,3,23,25,28,1,0,1,Semi-Furnished,9773496
Bangalore,HSR Layout,1643,2,1,8,11,14,1,0,0,Semi-Furnished,8244357
Pune,Wakad,3378,3,3,1,3,7,0,1,0,Semi-Furnished,23389135
Hyderabad,Madhapur,571,4,3,19,20,28,1,0,0,Unfurnished,3845132
Hyderabad,Madhapur,1254,3,2,5,28,31,0,1,1,Semi-Furnished,7613052
Bangalore,HSR Layout,3702,2,1,17,25,33,1,1,0,Unfurnished,19508729
Chennai,Velachery,3004,2,1,22,20,29,1,0,0,Semi-Furnished,17651036
Mumbai,Bandra,1404,4,5,21,11,19,1,1,1,Semi-Furnished,14030441
Hyderabad,Gachibowli,3026,3,3,23,4,12,1,1,0,Semi-Furnished,15856802
Delhi NCR,Dwarka,551,1,1,14,13,22,0,0,0,Semi-Furnished,4714448
Delhi NCR,Dwarka,1503,3,4,22,13,17,1,0,1,Unfurnished,11815214
Hyderabad,HITEC City,3121,2,1,15,9,12,1,1,1,Fully Furnished,16401349
Chennai,T Nagar,3690,1,1,0,25,33,1,0,0,Semi-Furnished,22059579
Chennai,OMR,1787,4,3,9,9,10,0,1,0,Semi-Furnished,11777289
Pune,Wakad,1762,3,2,9,4,5,0,1,0,Fully Furnished,11061709
Delhi NCR,Faridabad,3922,2,3,20,26,30,0,0,0,Semi-Furnished,31824828
Pune,Viman Nagar,3440,3,3,5,17,20,1,1,0,Semi-Furnished,21704532
Delhi NCR,Noida Sector 62,2802,4,3,22,26,28,1,0,0,Semi-Furnished,21946717
Mumbai,Kurla,1184,1,1,3,16,25,1,1,0,Semi-Furnished,11434365
Mumbai,Kurla,3880,3,2,13,9,14,1,1,1,Fully Furnished,35667708
Bangalore,Indiranagar,2272,3,3,24,10,13,1,1,0,Semi-Furnished,10912226
Pune,Baner,2130,2,2,16,14,23,0,1,1,Semi-Furnished,14498521
Hyderabad,Kondapur,2604,3,4,2,23,31,1,0,0,Semi-Furnished,15065665
Pune,Kothrud,1449,1,1,1,18,22,1,1,1,Semi-Furnished,10370418
Hyderabad,Kondapur,3974,3,3,17,11,16,1,1,0,Semi-Furnished,19291813
Chennai,Velachery,3638,4,3,16,15,20,1,1,0,Unfurnished,20665431
Pune,Wakad,3617,2,2,12,22,30,1,1,1,Unfurnished,24965151
Chennai,Adyar,3153,4,3,18,23,30,1,1,1,Unfurnished,18907019
Mumbai,Kurla,2173,3,4,9,26,29,1,0,0,Semi-Furnished,22229945
Mumbai,Thane,2916,2,1,20,11,17,1,0,1,Semi-Furnished,26674716
Bangalore,Koramangala,2779,3,4,21,21,27,0,1,1,Semi-Furnished,13068653
Pune,Viman Nagar,1925,1,1,23,29,31,1,1,0,Fully Furnished,12862784
Chennai,Velachery,3455,4,5,3,21,22,1,1,0,Unfurnished,19770084
Hyderabad,Jubilee Hills,2084,3,2,16,26,33,1,1,1,Fully Furnished,11505578
Mumbai,Andheri,1546,3,3,15,18,21,1,0,0,Unfurnished,15592374
Mumbai,Kurla,3121,3,3,24,24,29,1,1,0,Unfurnished,29879351
Hyderabad,HITEC City,1790,3,2,18,2,10,1,0,0,Unfurnished,9025224
Chennai,Adyar,3388,4,4,23,12,17,1,1,1,Semi-Furnished,21420775
Chennai,Velachery,2665,3,2,13,20,25,1,0,1,Fully Furnished,15691565
Pune,Hinjewadi,2123,4,5,19,21,26,1,1,1,Fully Furnished,15660010
Pune,Baner,3626,3,4,14,14,21,1,0,0,Semi-Furnished,25424384
Delhi NCR,Dwarka,1676,2,2,18,28,30,1,1,0,Unfurnished,12955236
Delhi NCR,Noida Sector 62,3810,4,3,2,16,17,1,1,0,Unfurnished,28147432
Bangalore,Hebbal,3836,3,2,19,10,14,1,1,1,Fully Furnished,18956188
Mumbai,Andheri,2815,3,4,19,24,29,1,1,0,Unfurnished,25859700
Pune,Kothrud,2660,5,4,15,22,29,0,0,0,Fully Furnished,18296160
Chennai,Anna Nagar,2713,1,1,6,26,27,1,1,1,Unfurnished,16968492
Hyderabad,Madhapur,3215,2,2,17,11,20,1,1,1,Unfurnished,16005338
Chennai,Velachery,1531,2,3,7,16,20,1,1,1,Unfurnished,9707170
Mumbai,Thane,3261,3,2,13,21,27,1,0,0,Unfurnished,31249103
Delhi NCR,Faridabad,3788,4,4,17,22,23,1,0,0,Semi-Furnished,28265552
Chennai,Velachery,930,5,5,0,4,13,0,0,1,Unfurnished,6674138
Bangalore,Whitefield,1815,3,3,23,28,32,1,1,0,Fully Furnished,10806078
Mumbai,Andheri,1392,3,2,19,4,9,0,0,0,Unfurnished,12937447
Delhi NCR,Gurugram,1573,4,5,5,6,14,1,1,0,Fully Furnished,14085451
Hyderabad,HITEC City,606,3,4,12,2,8,1,1,0,Semi-Furnished,4040896
Delhi NCR,Greater Noida,3580,2,2,0,2,5,1,1,0,Unfurnished,27578813
Bangalore,Koramangala,1244,3,4,18,16,24,0,1,1,Unfurnished,6339034
Mumbai,Powai,3247,5,5,6,29,35,1,1,0,Semi-Furnished,31831318
Hyderabad,Madhapur,1979,5,5,22,23,25,1,1,0,Semi-Furnished,12265732
Bangalore,HSR Layout,2870,3,2,23,1,6,1,1,0,Semi-Furnished,13986625
Delhi NCR,Faridabad,2856,4,4,15,14,17,1,0,1,Semi-Furnished,23624856
Bangalore,Hebbal,3397,2,2,13,18,22,1,0,1,Semi-Furnished,16785647
Mumbai,Andheri,1121,2,1,1,22,31,1,1,1,Semi-Furnished,10929322
Pune,Kothrud,1494,5,4,6,9,12,1,1,0,Unfurnished,10438270
Bangalore,Koramangala,644,2,3,19,25,30,1,1,0,Semi-Furnished,3775061
Bangalore,Whitefield,3287,2,1,21,10,18,0,1,0,Unfurnished,15709995
Delhi NCR,Gurugram,1320,2,2,19,23,32,1,1,0,Unfurnished,9766179
Delhi NCR,Noida Sector 62,911,3,2,14,8,15,1,1,0,Unfurnished,7761367
Hyderabad,Kondapur,613,3,2,24,13,17,1,1,0,Unfurnished,3062154
Delhi NCR,Faridabad,3122,2,3,13,23,32,1,0,1,Semi-Furnished,25053401
Chennai,Adyar,2946,4,3,0,6,8,0,0,1,Semi-Furnished,17153738
Mumbai,Andheri,3846,4,4,16,9,11,1,1,0,Unfurnished,35870994
Mumbai,Andheri,623,2,2,15,0,4,0,1,1,Unfurnished,5645653
Pune,Wakad,585,2,2,4,0,2,0,1,0,Unfurnished,4554423
Pune,Baner,546,3,2,20,13,16,1,0,1,Semi-Furnished,4204294
Mumbai,Bandra,2399,3,2,23,26,31,1,1,1,Fully Furnished,24292225
Pune,Baner,3491,2,2,22,7,10,0,1,0,Semi-Furnished,20188331
Hyderabad,Gachibowli,3772,2,1,2,13,14,1,1,0,Fully Furnished,19852520
Delhi NCR,Faridabad,3847,2,3,23,6,9,1,1,0,Semi-Furnished,28942614
Mumbai,Bandra,2072,2,3,19,17,23,1,1,0,Unfurnished,19732063
Pune,Baner,2238,3,4,18,24,27,1,1,0,Fully Furnished,16118166
Mumbai,Bandra,3701,3,4,1,25,34,1,1,0,Semi-Furnished,34174939
Chennai,T Nagar,2505,3,3,24,22,25,1,1,1,Semi-Furnished,14516872
Bangalore,Hebbal,1303,3,2,13,8,11,0,0,0,Fully Furnished,6983517
Delhi NCR,Noida Sector 62,2936,2,3,22,26,29,1,0,1,Semi-Furnished,22037191
Mumbai,Kurla,3123,3,3,20,14,19,0,0,0,Semi-Furnished,30137949
Bangalore,Koramangala,3834,1,2,24,0,7,1,1,1,Semi-Furnished,20186236
Pune,Hinjewadi,2489,3,2,18,10,15,1,1,0,Semi-Furnished,17018017
Bangalore,HSR Layout,3179,3,4,12,18,27,0,0,0,Semi-Furnished,15280208
Delhi NCR,Greater Noida,3849,3,4,12,9,15,0,0,0,Unfurnished,30381411
Mumbai,Powai,3261,3,4,5,17,18,1,1,0,Fully Furnished,31132852
Chennai,OMR,1569,3,4,23,21,30,1,0,0,Fully Furnished,9165344
Pune,Viman Nagar,1691,4,3,8,25,28,1,0,1,Unfurnished,12262453
Mumbai,Bandra,3169,3,3,19,3,11,1,1,0,Semi-Furnished,29827889
Delhi NCR,Noida Sector 62,545,3,4,0,17,20,1,1,0,Fully Furnished,5510525
Pune,Hinjewadi,3271,5,5,23,17,25,1,0,0,Unfurnished,20855061
Hyderabad,Madhapur,1039,3,2,9,21,25,1,1,0,Unfurnished,6743640
Bangalore,Whitefield,586,3,2,2,24,25,1,1,0,Semi-Furnished,4209799
Delhi NCR,Greater Noida,3350,1,2,5,21,27,1,0,0,Unfurnished,26269877
Hyderabad,HITEC City,1908,2,2,15,19,26,0,1,0,Fully Furnished,11271602
Mumbai,Bandra,764,3,4,19,11,19,1,1,1,Fully Furnished,8380420
Chennai,Adyar,3593,3,2,5,8,14,0,0,0,Semi-Furnished,18899879
Pune,Viman Nagar,1202,2,3,11,17,18,0,1,0,Fully Furnished,8548616
Bangalore,Koramangala,1973,5,6,2,5,10,1,0,0,Semi-Furnished,12049653
Pune,Kothrud,2779,2,2,22,22,31,0,0,1,Unfurnished,18699646
Mumbai,Andheri,685,3,2,17,28,31,1,1,0,Unfurnished,7019739
Pune,Kothrud,825,2,3,20,18,23,0,1,0,Fully Furnished,5989999
Bangalore,Hebbal,1706,3,4,2,19,25,1,1,0,Semi-Furnished,9803299
Mumbai,Powai,896,4,5,4,22,27,1,1,0,Semi-Furnished,9806511
Pune,Viman Nagar,2004,2,2,18,24,28,1,1,0,Fully Furnished,13468846
Chennai,Adyar,1926,1,1,24,14,16,0,0,1,Unfurnished,11669209
Delhi NCR,Gurugram,1940,3,4,23,4,9,1,0,0,Semi-Furnished,15356836
Mumbai,Andheri,3773,3,4,17,10,11,1,1,1,Semi-Furnished,36097801
Delhi NCR,Faridabad,1588,3,4,7,12,13,1,0,0,Unfurnished,12742045
Mumbai,Bandra,1455,5,4,23,1,9,1,1,0,Semi-Furnished,14666078
Chennai,OMR,1054,1,1,9,7,11,1,1,1,Fully Furnished,6206643
Delhi NCR,Faridabad,3280,3,3,18,24,25,0,0,0,Semi-Furnished,26732522
Hyderabad,Madhapur,1540,3,4,9,26,28,1,1,0,Semi-Furnished,9944480
Bangalore,Hebbal,3344,5,6,20,10,15,0,0,0,Semi-Furnished,17628789
Hyderabad,HITEC City,3754,4,4,1,17,24,0,1,0,Fully Furnished,20701430
Pune,Viman Nagar,2938,3,3,9,25,30,0,1,1,Semi-Furnished,20793640
Chennai,Anna Nagar,543,3,3,21,9,15,1,1,0,Semi-Furnished,4300752
Hyderabad,Madhapur,1400,2,3,17,0,7,1,1,1,Semi-Furnished,8040241
Mumbai,Powai,2223,2,3,3,3,6,1,1,0,Semi-Furnished,22050318
Pune,Viman Nagar,981,3,3,2,28,33,1,1,0,Semi-Furnished,7367050
Pune,Baner,2536,3,3,16,16,24,1,0,0,Fully Furnished,17483824
Hyderabad,Gachibowli,1786,3,2,23,16,22,1,0,1,Semi-Furnished,10651896
Hyderabad,Kondapur,1697,3,4,23,4,6,1,1,1,Semi-Furnished,10521932
Chennai,T Nagar,1964,2,1,16,22,31,1,1,0,Semi-Furnished,12636373
Bangalore,Indiranagar,1065,3,3,21,2,4,0,0,0,Unfurnished,5013249
Hyderabad,Madhapur,2767,2,3,11,6,12,1,1,1,Unfurnished,13886464
Hyderabad,Kondapur,3965,2,3,16,4,6,1,0,0,Fully Furnished,19610079
Delhi NCR,Noida Sector 62,1271,2,1,12,9,16,1,1,0,Semi-Furnished,10571767
Mumbai,Powai,1718,4,3,8,26,27,1,0,1,Unfurnished,17545281
Delhi NCR,Faridabad,2956,1,1,0,23,27,1,1,1,Fully Furnished,23164316
Delhi NCR,Noida Sector 62,970,4,3,14,6,14,1,0,0,Unfurnished,8291216
Pune,Baner,1870,2,3,18,16,25,0,0,0,Semi-Furnished,13157765
Bangalore,Whitefield,3632,3,3,8,28,31,0,1,1,Semi-Furnished,19518719
Mumbai,Kurla,2713,4,4,16,16,25,0,0,0,Semi-Furnished,25044754
Chennai,Anna Nagar,1171,3,3,14,6,14,1,1,0,Unfurnished,7715404
Chennai,T Nagar,1674,2,1,1,5,9,1,1,0,Semi-Furnished,9556006
Hyderabad,HITEC City,610,2,2,3,8,9,1,1,1,Unfurnished,3497528
Hyderabad,Kondapur,3096,4,3,6,7,12,0,1,0,Semi-Furnished,18664713
Chennai,Adyar,1526,2,1,7,28,35,1,1,0,Fully Furnished,9273068
Hyderabad,HITEC City,3584,3,3,0,13,18,1,1,0,Unfurnished,19558334
Bangalore,HSR Layout,3733,3,3,0,21,26,0,0,1,Semi-Furnished,20597262
Delhi NCR,Faridabad,843,2,2,4,5,10,1,1,1,Semi-Furnished,7814322
Hyderabad,Jubilee Hills,1972,2,3,7,8,11,1,0,1,Unfurnished,11520714
Pune,Baner,2879,3,2,0,27,33,1,1,1,Semi-Furnished,19818122
Hyderabad,Madhapur,2811,3,4,2,19,23,1,1,0,Semi-Furnished,16197707
Mumbai,Powai,2630,2,2,21,24,26,1,1,0,Unfurnished,25474142
Bangalore,Koramangala,1276,3,4,16,10,14,1,1,1,Semi-Furnished,7636942
Mumbai,Bandra,3471,4,5,2,10,16,0,1,1,Fully Furnished,32348621
Mumbai,Bandra,2881,4,4,0,7,13,1,1,1,Semi-Furnished,29397653
Pune,Kothrud,1903,2,2,3,2,11,1,1,1,Semi-Furnished,12468092
Bangalore,HSR Layout,3790,2,1,8,10,18,1,0,0,Semi-Furnished,19330190
Bangalore,Koramangala,1157,4,3,12,3,8,0,1,0,Semi-Furnished,6652483
Bangalore,Whitefield,2333,2,3,4,22,25,1,1,0,Unfurnished,11770094
Bangalore,Whitefield,2332,1,1,13,2,6,1,1,0,Semi-Furnished,11204166
Bangalore,Hebbal,953,4,3,18,12,17,1,0,0,Semi-Furnished,5807370
Pune,Kothrud,3220,2,1,22,18,19,1,0,1,Semi-Furnished,21730060
Hyderabad,Kondapur,1240,2,3,13,7,16,1,1,1,Semi-Furnished,7446423
Mumbai,Andheri,2269,2,3,21,20,24,1,0,1,Semi-Furnished,21438812
Bangalore,Whitefield,3660,4,5,24,27,35,1,1,1,Semi-Furnished,18762035
Hyderabad,HITEC City,2880,2,2,3,20,25,1,1,0,Semi-Furnished,16595015
Hyderabad,Madhapur,2857,4,3,3,23,28,1,1,0,Fully Furnished,16575541
Mumbai,Powai,3274,3,2,8,21,23,0,1,0,Semi-Furnished,30740609
Pune,Hinjewadi,1943,3,2,1,20,28,1,1,1,Semi-Furnished,13379096
Chennai,Anna Nagar,2248,2,3,9,0,7,1,0,0,Unfurnished,13923005
Chennai,T Nagar,2901,2,2,17,20,22,1,0,1,Fully Furnished,15843111
Hyderabad,Jubilee Hills,1323,3,4,24,7,13,1,1,0,Unfurnished,7692853
Delhi NCR,Greater Noida,3671,2,3,6,29,38,1,1,0,Semi-Furnished,29394359
Delhi NCR,Dwarka,644,4,4,20,8,16,0,0,1,Fully Furnished,5699313
Mumbai,Thane,3581,3,3,13,5,8,1,1,1,Unfurnished,33659198
Chennai,Velachery,2506,3,4,20,10,17,1,0,0,Fully Furnished,15140363
Hyderabad,Madhapur,1567,2,2,24,28,32,1,0,1,Semi-Furnished,9709948
Pune,Viman Nagar,2286,3,4,14,28,32,0,1,1,Unfurnished,16120871
Chennai,OMR,1909,2,1,9,9,16,1,1,1,Semi-Furnished,11292022
Hyderabad,Gachibowli,2262,2,2,4,2,9,0,0,0,Unfurnished,12965740
Hyderabad,Kondapur,1409,4,3,24,7,8,1,1,0,Semi-Furnished,7226072
Bangalore,Whitefield,1260,3,3,7,28,29,1,1,1,Fully Furnished,7871981
Pune,Baner,3042,3,4,21,4,10,1,1,0,Semi-Furnished,19866609
Bangalore,Koramangala,2016,3,4,20,1,3,0,0,1,Fully Furnished,10409444
Mumbai,Thane,3740,3,4,4,15,18,0,1,0,Fully Furnished,37517670
Bangalore,Hebbal,3189,2,3,4,0,2,0,1,1,Semi-Furnished,16997741
Bangalore,Whitefield,1030,1,2,13,26,28,1,1,0,Unfurnished,5284964
Chennai,Velachery,1859,4,5,0,23,31,1,1,0,Semi-Furnished,12648873
Delhi NCR,Greater Noida,2527,2,2,4,1,9,1,1,0,Semi-Furnished,20676962
Hyderabad,Gachibowli,3060,3,3,18,26,32,1,1,1,Semi-Furnished,15711498
Pune,Wakad,2677,1,1,21,2,5,0,1,0,Semi-Furnished,15471856
Bangalore,Indiranagar,1507,2,2,24,8,13,1,1,0,Semi-Furnished,7749240
Pune,Hinjewadi,2037,1,1,11,16,23,0,1,0,Semi-Furnished,12470705
Delhi NCR,Greater Noida,1773,3,2,14,23,28,1,1,0,Unfurnished,13946759
Delhi NCR,Dwarka,3281,3,2,2,11,18,1,1,1,Semi-Furnished,25969070
Bangalore,Indiranagar,1446,2,3,0,1,8,0,0,1,Fully Furnished,8355847
Mumbai,Andheri,1661,2,1,23,23,27,0,0,0,Unfurnished,15397785
Bangalore,Hebbal,1798,4,3,11,29,35,1,0,0,Semi-Furnished,10605678
Chennai,Velachery,1501,2,2,12,1,10,1,0,0,Fully Furnished,8746564
Hyderabad,Jubilee Hills,3011,4,5,13,22,26,1,1,0,Unfurnished,17573512
Mumbai,Kurla,2688,4,3,24,18,19,1,1,1,Unfurnished,26078719
Bangalore,HSR Layout,2467,5,6,9,19,27,1,0,0,Semi-Furnished,12623230
Pune,Wakad,3827,4,5,19,27,31,0,1,1,Semi-Furnished,24523957
Mumbai,Andheri,1381,2,1,13,26,34,0,1,0,Semi-Furnished,13132833
Mumbai,Bandra,2347,5,4,13,16,25,1,1,0,Unfurnished,22927067
Bangalore,HSR Layout,3003,4,3,12,27,35,0,1,0,Semi-Furnished,14419597
Mumbai,Powai,2475,4,3,20,25,26,1,1,1,Fully Furnished,24315785
Pune,Kothrud,2981,1,2,2,16,25,1,1,0,Semi-Furnished,20095633
Delhi NCR,Greater Noida,2130,5,5,23,12,17,1,1,0,Unfurnished,16125834
Mumbai,Andheri,672,3,4,18,11,19,1,0,1,Semi-Furnished,7073554
Delhi NCR,Gurugram,972,3,4,19,10,16,1,0,0,Semi-Furnished,7659501
Pune,Viman Nagar,1946,1,2,9,25,32,0,1,1,Semi-Furnished,12853141
Bangalore,Whitefield,3567,2,1,11,27,30,1,0,0,Fully Furnished,17399041
Hyderabad,Madhapur,3464,5,4,22,10,19,1,1,0,Unfurnished,18588511
Mumbai,Powai,2986,3,3,1,23,32,1,1,1,Semi-Furnished,28158454
Hyderabad,Jubilee Hills,3563,2,2,0,7,9,0,1,0,Unfurnished,19180837
Pune,Hinjewadi,3628,4,4,3,17,21,1,0,1,Unfurnished,25016726
Mumbai,Kurla,997,1,2,7,3,7,1,1,0,Semi-Furnished,10230086
Delhi NCR,Faridabad,2716,2,2,16,17,18,1,1,1,Fully Furnished,21690146
Chennai,Anna Nagar,1488,2,3,13,28,32,0,0,0,Semi-Furnished,9852160
Hyderabad,Kondapur,2105,2,1,13,14,17,1,1,0,Unfurnished,10695053
Mumbai,Thane,3108,2,3,18,23,25,0,1,1,Semi-Furnished,29099742
Hyderabad,Jubilee Hills,2975,2,1,3,6,12,1,0,0,Fully Furnished,15897752
Mumbai,Andheri,918,2,1,19,22,25,1,1,0,Unfurnished,8847995
Bangalore,Koramangala,1870,3,3,15,25,34,1,0,0,Unfurnished,8804290
Delhi NCR,Faridabad,3002,4,3,18,14,23,0,1,0,Unfurnished,22889175
Hyderabad,Gachibowli,1213,3,3,18,18,26,1,0,0,Semi-Furnished,6984344
Chennai,T Nagar,2749,2,2,12,27,35,0,1,0,Unfurnished,16517790
Chennai,Velachery,678,2,2,6,26,28,1,0,0,Semi-Furnished,4739033
Pune,Wakad,2604,4,5,23,20,26,0,0,1,Fully Furnished,16531275
Mumbai,Powai,2429,5,5,13,29,33,0,0,0,Fully Furnished,23436126
Hyderabad,Gachibowli,1445,2,2,9,16,18,1,1,0,Semi-Furnished,8674165
Pune,Hinjewadi,2518,2,1,13,9,11,1,0,1,Unfurnished,17295117
Hyderabad,HITEC City,3048,3,4,19,10,17,1,1,0,Fully Furnished,18228195
Mumbai,Andheri,1238,3,3,10,13,14,1,1,1,Fully Furnished,13055088
Chennai,OMR,2456,3,3,10,3,11,0,0,0,Unfurnished,14413438
Bangalore,HSR Layout,611,3,3,14,3,8,1,1,1,Fully Furnished,4261129
Chennai,Anna Nagar,3719,3,2,7,0,8,1,1,0,Fully Furnished,22551121
Pune,Baner,1214,5,4,23,11,13,1,1,0,Fully Furnished,8275147
Delhi NCR,Gurugram,1901,2,1,21,6,7,0,1,1,Semi-Furnished,14355411
Bangalore,Indiranagar,3424,5,5,16,4,6,0,0,1,Fully Furnished,18223147
Pune,Hinjewadi,2438,2,2,22,0,6,0,1,0,Unfurnished,14968787
Mumbai,Bandra,3919,3,3,22,20,24,1,1,0,Unfurnished,35069570
Bangalore,HSR Layout,1881,3,3,20,23,31,1,0,0,Unfurnished,9977091
Pune,Kothrud,3627,3,3,5,25,34,1,1,1,Semi-Furnished,23259805
Mumbai,Kurla,1312,3,2,13,7,16,1,1,1,Unfurnished,12960896
Chennai,Velachery,3887,2,2,8,28,33,1,1,0,Semi-Furnished,21529876
Delhi NCR,Dwarka,3511,2,3,2,17,23,0,1,0,Semi-Furnished,28203995
Mumbai,Andheri,1708,3,3,11,12,19,0,0,0,Unfurnished,16367513
Hyderabad,HITEC City,3625,3,2,3,16,20,1,1,0,Fully Furnished,21195507
Mumbai,Bandra,536,2,2,24,1,4,1,0,0,Unfurnished,4882742
Mumbai,Bandra,2328,4,5,14,5,7,1,1,0,Unfurnished,22621151
